    Blocking waiting for file lock on package cache
    Blocking waiting for file lock on package cache
    Blocking waiting for file lock on package cache
    Blocking waiting for file lock on build directory
    Finished `release` profile [optimized] target(s) in 3.15s
     Running `target/release/tester ../a.out`
75 Candidate: 5, Eval: -885
75 Candidate: 8, Eval: -880
75 Candidate: 9, Eval: -785
75 Candidate: 18, Eval: -685
75 Candidate: 27, Eval: -585
75 Candidate: 36, Eval: -485
75 Candidate: 45, Eval: -385
75 Candidate: 54, Eval: -285
75 Candidate: 63, Eval: -185
75 Candidate: 72, Eval: -80
74 Candidate: 5, Eval: -885
74 Candidate: 6, Eval: -880
74 Candidate: 9, Eval: -780
74 Candidate: 19, Eval: -685
74 Candidate: 28, Eval: -585
74 Candidate: 37, Eval: -485
74 Candidate: 46, Eval: -385
74 Candidate: 55, Eval: -285
74 Candidate: 63, Eval: -175
74 Candidate: 75, Eval: -80
78 Candidate: 5, Eval: -885
78 Candidate: 6, Eval: -880
78 Candidate: 10, Eval: -780
78 Candidate: 20, Eval: -685
78 Candidate: 28, Eval: -580
78 Candidate: 37, Eval: -485
78 Candidate: 46, Eval: -385
78 Candidate: 55, Eval: -285
78 Candidate: 63, Eval: -175
78 Candidate: 77, Eval: -85
78 Candidate: 79, Eval: -80
73 Candidate: 5, Eval: -885
73 Candidate: 6, Eval: -880
73 Candidate: 14, Eval: -800
73 Candidate: 15, Eval: -785
73 Candidate: 23, Eval: -700
73 Candidate: 25, Eval: -685
73 Candidate: 29, Eval: -575
73 Candidate: 39, Eval: -480
73 Candidate: 50, Eval: -400
73 Candidate: 53, Eval: -385
73 Candidate: 57, Eval: -280
73 Candidate: 66, Eval: -180
73 Candidate: 77, Eval: -80
72 Candidate: 5, Eval: -885
72 Candidate: 6, Eval: -880
72 Candidate: 14, Eval: -800
72 Candidate: 15, Eval: -785
72 Candidate: 23, Eval: -700
72 Candidate: 24, Eval: -685
72 Candidate: 26, Eval: -680
72 Candidate: 29, Eval: -575
72 Candidate: 39, Eval: -480
72 Candidate: 50, Eval: -400
72 Candidate: 51, Eval: -385
72 Candidate: 59, Eval: -300
72 Candidate: 61, Eval: -280
72 Candidate: 68, Eval: -185
72 Candidate: 70, Eval: -180
77 Candidate: 5, Eval: -885
77 Candidate: 6, Eval: -880
77 Candidate: 14, Eval: -800
77 Candidate: 15, Eval: -785
77 Candidate: 23, Eval: -700
77 Candidate: 24, Eval: -685
77 Candidate: 26, Eval: -680
77 Candidate: 29, Eval: -575
77 Candidate: 41, Eval: -500
77 Candidate: 43, Eval: -485
77 Candidate: 44, Eval: -480
77 Candidate: 50, Eval: -400
77 Candidate: 51, Eval: -385
77 Candidate: 59, Eval: -285
77 Candidate: 60, Eval: -280
76 Candidate: 5, Eval: -880
76 Candidate: 14, Eval: -785
76 Candidate: 23, Eval: -685
76 Candidate: 32, Eval: -600
76 Candidate: 34, Eval: -575
76 Candidate: 41, Eval: -485
76 Candidate: 42, Eval: -480
71 Candidate: 13, Eval: -10775
